,snippet_x,category_id,snippet_y,filename,маркер,,Антонимы,Синонимы,Повторы,Гипонимы/гиперонимы,отрицание,позиция маркера,другое РО,жанр,,,
,"Словарь областного архангельского наречия.. .й (далее - СОАН) включает данную лексему в значении , западня на волков, лисиц и горностаев: утвержденное между двумя кольями бревно со съедобной приманкой, к которой едва прикоснется зверь, как бревно быстро падает и убивает его» [9, с. 78], ,",comparison_m,"Словарь русских народных говоровй (далее - СРНГ) - в значении «ловушка на мелкого зверя из бревен, жердей или досок», «род западни для ловли зайцев» [11, с. 56]",ling_17.pkl,nd,параллелизм,нет,да наречие говор,да,нет,нет,nd,,наука,,,
,или же представляют различающиеся дихотомические построения.,comparison_m,однако под одним и тем же термином подразумевают разные явления,ling_37.pkl,или же,,,,,,нет,2,,наука,,контраст,
в контраст,"И если функционально-семантический план соотнесен с планом выражения категории, представляя совокупность языковых средств, реализующих побудительное значение, ",comparison_m,"то коммуникативно-прагматический план — это план содержания, обусловливающий все многообразие и в то же время интен-циональную целостность выражения побудительного значения в коммуникативном акте.",ling_37.pkl,если... то,,да квази содержание- выражение,да совокупность целостность,нет,нет,нет,both,Контраст,наука,,контраст,
,"Так, Г. Ф. Музыкантов отмечает: «Каждый из составляющих сектора (или микрополя — А. М.) обнаруживает интегральный признак ‘‘ волеизъявление”»16.",comparison_m,"Аналогичную точку зрения разделяет С. Ю. Рубцова, называя волеизъявление основным инвариантным значением категории повелительности17.",ling_37.pkl,аналогичный,,нет,да отмечает разделяет,нет,нет,нет,2,,наука,,,
в контраст,"Вторая позиция - либеральная, рассматривающая образование с точки зрения индивидуального блага с присущей ему свободой и личностной ценностью.",comparison_m,"Первая относится к инструментальной традиции образования, делающей акцент на общественном интересе, т. е. на потребности общества в тех или иных профессиях, идеологических установках и т. д.",ling_14.pkl,nd,параллельные конструкции,да первый второй + квази традиционный-либеральный,нет,да образование,да (общественный/индивидуальный),,nd,Контраст антитеза традиционный-либеральный,наука,,,
,"Дополнительное образование в силу своей избыточности, непринужденности действительно может восприниматься учениками как некое свободное занятие, где нет контрольных и экзаменов, но где возможно интересное свободное общение, делающее наше взаимодействие продуктивным.",comparison_m,"Свобода же педагога выражается в его возможности самостоятельно определить тематику курса и формы его реализации (мы редуцируем вопрос об экзистенциальном выборе, здесь речь идет только о педагогическом самоопределении).",ling_14.pkl,же,,нет,да,нет,нет,нет,2,,наука,,,
,"В предшествующие эпохи культурный капитал естественным образом дополнял экономическое и властное господство, если человек принадлежал к высшему классу по факту рождения, то он получал соответствующее образование и соответствующий культурный капитал.",comparison_m,"В современном открытом обществе роль образования меняется, оно становится важнейшим лифтом социальной мобильности, то есть культурный капитал может стать средством получения экономического и политического капитала. Однако при всей внешней доступности образования мы говорим прежде всего о высшем образовании, есть серьезные препятствия на пути его получения, их можно определить как «классовый этос». «Классовый этос» - это система латентных ценностей, интериоризированных людьми с детства» [5, с. 278]. Каждый социальный слой создает свой мир, стиль жизни, со своими ценностными предпочтениями. Вырастая в определенной среде, человек усваивает ее культуру, привыкает к ней и в дальнейшем соизмеряет свои жизненные цели с доминантами «своей» культуры. Если в низших слоях нет ценности интеллектуальной деятельности, понимания значимости образования, то дети из этих слоев не будут стремиться к получению знаний. Более того, возникшее желание подняться выше может быть сведено на нет трудностями адаптации к новому окружению.",ling_14.pkl,nd,,да предшествующий-современный,да социальный общество,нет,нет,нет,nd,антитеза в современном обществе - в предшествующие эпохи,наука,,,
,"В своей образовательной практике мы, как правило, делаем упор на объяснении. Это связано с самой системой образования, в которой доминирует естественно-научное знание, либо напрямую, с преобладанием часов по математике, физике и т. д., либо опосредованно, через методы естественных наук, переносимые на гуманитарное знание. Речь идет прежде всего о методе объяснения. Объяснение - это путь раскрытия содержания информации на основе уже имеющегося знания, т. е. уже установленное знание о том или ином предмете, законе, причинно-следственных связях и функциях в объяснении используется для определения сущности новой информации. «Объяснение содержит общезначимые знания, надличностные значения, которые являются внешними по отношению к экзистенциальному пониманию» [6, с. 158].",comparison_m,"Понимание выступает как метод гуманитарных наук, это иной путь раскрытия содержания информации, когда ведущую роль играет субъективность, нахождение личностного смысла. «В понимании реализуется онтологическая возможность и вместе с тем способность человека к самоопределению своего уникального существования как смысла относительно знаний, открывающихся в рациональном, чувственном познании» [6, с. 158]. Понимание можем определить как способность субъекта к открытию смыслов другого, а в более широком плане - раскрытие системы значений и смысла любого текста, понять -это значит перенести чужие смыслы в свой собственный жизненный мир. Данная трактовка предполагает, что понимание является необходимым условием любого диалога: диалога личностей, культур, социальных групп и т. д.",ling_14.pkl,иной путь,,да квази ,нет,нет,нет,нет,2,"контраст, антитеза (наука - практика), ",наука,,,
,"лексический запас французского языка на 65% латинского происхождения, слова, пришедшие из английского языка, составляют в нем около 2% лексики;",comparison_m,в современном английском языке около 75% всех употребляемых слов по происхождению французские и латинские.,ling_38.pkl,nd,"параллельные конструкции, количественное сравнение (в процентах)",нет,нет,да язык происходение и тд,нет,нет,nd,,наука,,,
,"14% затруднились с ответом,",comparison_m,"32% опрошенных ответили отрицательно,",ling_25.pkl,nd,"параллельные конструкции, количественное сравнение (в процентах)",нет,нет,да,нет,нет,nd,,наука,,,
,"Всего в 2015 году фермерские хозяйства собрали 27,5 млн тонн зерна.",comparison_m,"доля КФХ в общем валовом сборе зерна в 2015 г. возросла до 26,4% [1].",comp_49.pkl,nd,возросла,нет,нет,нет,нет,нет,nd,,наука,,,
в контраст,"нечеткая логика предлагает совершенно иной уровень мышления, благодаря которому творческий процесс моделирования происходит на более высоком уровне абстракции, при котором постулируется лишь минимальный набор закономерностей.",comparison_m,"В отличие от традиционной математики, требующей на каждом шаге моделирования точных и однозначных формулировок закономерностей,",comp_49.pkl,в отличие от X,совершенно иной,да квази,нет,нет,нет,нет,1,контраст антитеза [новый] - традиционный,наука,,,
,"(в отличие от базовой модели, где Рн,x (t) = Рн = const).",comparison_m,Вероятность дожития от момента времени t-1 до t для индивидуума x из когорты H при заданной [формула] равна [формула],comp_42.pkl,в отличие от X,,нет,нет,нет,нет,нет,2,,наука,,,
,и 48% для второго набора параметров по сравнению с последовательным вычислением.,comparison_m,"Таким образом, применение технологии OpenMP при выполнении программы на двухъядерном процессоре дает экономию времени в 45% для первого набора параметров",comp_42.pkl,и,количественное сравнение (в процентах),нет,нет,нет,нет,нет,2,,наука,,,
,"В индивидуум-ориентированной модификации модели, в отличие от предшествующих работ [3, 4], учитывается влияние продолжительности болезни на вероятность гибели индивидуумов. Введение индивидуальных параметров привело к тому, что объем обрабатываемых данных повысился и время, затрачиваемое на моделирование динамики популяции, существенно возросло.",comparison_m,"В данной работе рассматривается стохастическая модель [5], созданная на основе дифференциальной модели динамики туберкулеза [2].",comp_42.pkl,в отличие от X,параллельные конструкции,нет,нет,да,да,нет,2,,наука,,,
,"Получаем, что моделирующая программа, выполненная на основе алгоритма №2 и функцией розыгрыша судьбы в варианте (б), производит расчеты с первым набором параметров примерно на 70% быстрее,",comparison_m,а со вторым набором - на 55% быстрее по сравнению с исходным вариантом алгоритма.,comp_42.pkl,а,"количественное сравнение (в процентах), быстрее",нет,да (первый/второй),"да (быстрее,набор, алгоритм)",нет,нет,2,,наука,,,
в контраст,Алгоритм принятия решения в АСОУ ГО в военное время принципиально отличается от АСОУ ГО мирного времени.,comparison_m,"Необходимо отметить, алгоритм принятия решения АСОУ ГО в мирное время аналогичен алгоритму принятия решения АСОУ РСЧС.",comp_52.pkl,отличаться от,принципиально,да мирный-военный,нет,да,нет,нет,2,"контраст, антитеза (мирное время - военное время), ",наука,,,
,Аналогичный алгоритм АСОУ ГО мирного времени.,comparison_m,принимается решение на основе данных типового алгоритма действий.,comp_52.pkl,аналогичный,,нет,нет,нет,нет,нет,2,,наука,,,
,"тем выше значимость кластера,",comparison_m,"Чем больше [символ],",comp_21.pkl,чем… тем,,нет,да выше-больше,нет,нет,нет,both,,наука,,,
,тем выше значимость «гэпа».,comparison_m,"и чем меньше [символ],",comp_21.pkl,чем… тем,,да,нет,нет,нет,нет,both,,наука,,,
,"а второго (х = «обеспечение») - 5839,",comparison_m,"но позиционная привязка первого из них (х = «программный») равна 5838 (начало фрагмента),",comp_21.pkl,а,количественное сравнение,да (первый/второй),нет,нет,нет,нет,2,,наука,,,
,В первом случае (перевод Б. Заходера) учет словоизменительной парадигмы проводился путем отбрасывания окончаний. Нижний порог отбора по частоте (F^p) принимался равным 10.,comparison_m,"Во втором случае (статья И.А. Секериной) использовалась процедура нормализации (приведение к канонический форме), а значение [символ] выбиралось равным 5.",comp_21.pkl,в первом случае ... во втором случае,,да (первый/второй),нет,нет,нет,нет,both,,наука,,,
,"Высокочастотные тематически значимые словоформы часто образуют несколько позиционно разнесенных кластеров с относительно небольшим числом точек я, но с достаточно высоким значением показателя [символ]. Например, каноническая форма x = «слово», встречающаяся в нормализованном варианте статьи И.А. Секериной F(x) = 119 раз, образует два кластера с числом точек в каждом порядка 12 / 15 и значениями [символ]. Первый из них покрывает два абзаца в разделе «Восприятие слов и их составляющих», второй - половину абзаца в разделе «Смысл и память».",comparison_m,"2. Наиболее информативными оказываются кластеры, представленные среднечас- тотными словоформами. Такие словоформы обычно формируют единственный кластер, включающий в себя большую часть вхождений данной словоформы в текст. Высокочастотные служебные слова такого рода миникластеров с высоким значением [символ], как правило, не образуют, хотя имеют достаточно протяженные участки аномальных сгущений с большим числом точек, но невысоким значением [символ] ~ 1,5 2. Их интерпретация не столь очевидна.",comp_21.pkl,nd,параллельные конструкции,нет,нет,да,нет,нет,nd,,наука,,,
,"В статье И.А. Секериной, например, многие тематически значимые слова (предложение, эксперимент, электрод, испытуемый и др.) относятся к разряду высокочастотных, и их отсеивание по порогу было бы нежелательным.",comparison_m,Задание же слишком высокого порога делает процедуру фильтрации неэффективной: отсеивается слишком мало слов.,comp_21.pkl,же,,нет,да неэффективный нежелательный,да,нет,нет,2,,наука,,,
,"для гладкой поверхности D=1,87.. .1,89.",comparison_m,"грубой поверхности излома соответствует размерность 1,79.. .1,82;",comp_37.pkl,nd,"параллельные конструкции, антонимы",да (грубый/гладкий),нет,да (поверхность),нет,нет,nd,,наука,,,
,в то время как использование вейвлет-фильтров снижает чувствительность метода.,comparison_m,"В этом случае результат расчета фрактальной размерности слабо зависит от шума изображений,",comp_37.pkl,в то время как,,нет,нет,нет,да метод-этот,нет,2,Контраст,наука,,,
,"В качестве примера рассмотрим случай, когда R(t) = R = const. Для первого и второго циклов выражения (1) и (3) примут следующий вид: [формула]. На рис. 4 представлен график, построенный в соответствии выражением (10) для стационарного случая при R = 1 и R = 0,5 (кривые 1 и 2 соответственно). [Рисунок 4]",comparison_m,"Для стационарного случая при произвольных зависимостях P(t) и R(t) необходимо выполнить достаточно сложные вычисления. Приведем здесь алгоритм вычислений лишь в схематическом виде. В начале следует произвести преобразование Лапласа произведения P(t).R(t) по формуле [формула]. Затем необходимо использовать оператор [формула] и полученный результат умножить на величину Iо. Далее следует воспользоваться выражениями (5) и (6) для нахождения стационарных значений W и Q при s -> 0 по формулам (7) и (8). И лишь после этого можно вывести выражение, аналогичное формуле (9), для определения „предельной стационарной рентабельности"" системы.",comp_36.pkl,,достаточно сложный,нет,нет,да,нет,нет,nd,,наука,,,
в контраст,в то время как коэффициенты высокочастотных компонент сгруппированы в правой нижней части матрицы.,comparison_m,"Следует отметить, что коэффициенты низкочастотных компонент располагаются ближе к верхнему левому углу,",comp_28.pkl,в то время как,,да (низкочастотный/высокочастотный; верхний левый/нижний правый),нет,да,нет,нет,2,Контраст,наука,,,
,в то время как высокочастотные компоненты наиболее уязвимы для внешних воздействий [1].,comparison_m,"Низкочастотные коэффициенты содержат преобладающую часть энергии изображения,",comp_28.pkl,в то время как,,да (низкочастотный/высокочастотный),нет,да,нет,нет,2,Контраст,наука,,,
,чем явно превосходят АС-коэффициенты.,comparison_m,"Можно утверждать, что БС-коэффициенты имеют высокую устойчивость к внешним воздействиям,",comp_28.pkl,превосходить,явно,нет,нет,нет,нет,нет,2,,наука,,,
,"как это было в предыдущем случае,",comparison_m,"следовательно, передавать необходимо не скалярное управление и,",comp_12.pkl,как это было в,,нет,нет,нет,нет,нет,2,,наука,,БИТЫЙ КОНТЕКСТ,
,Таким же образом следует организовать обратный канал связи к наблюдателю.,comparison_m,Простейший способ организации передачи вектора управления по последовательному каналу связи заключается в разделении сеанса (времени) доступа к линии связи между его элементами.,comp_12.pkl,Таким же образом,,нет,да связь передача,да,нет,нет,2,,наука,,,
,"а на рис. 1, в, г — режимы DC_PRED и TM_PRED кодека VP8 [8].",comparison_m,"В частности, на рис. 1, а, б представлены режимы V_PRED и H_PRED,",comp_14.pkl,а,параллельные конструкции,нет,нет,да (режим),нет,нет,2,,наука,,,
,"а в среднем такие потери составили 0,77 % от качества сжатия с использованием тестовой модели НМ 13.0;",comparison_m,"RD-зависимости для рассматриваемых тестовых видеопоследовательностей представлены на рис. 4, а—в: наибольшие потери в 1,05 % по качеству сжатия (пиковому отношению сигнал/шум — PSNR) были выявлены на видеопоследовательности Реор1еOnStreet;,",comp_14.pkl,а,количественное сравнение (в процентах),нет,нет,"да (потери, качество сжатия)",нет,нет,2,,наука,,,
,"а в среднем выигрыш составил 1,89 % от скорости сжатия с использованием тестовой модели НМ 13.0.",comparison_m,"наибольший выигрыш в 2,07 % по скорости сжатия (битрейт) был также получен на видеопоследовательности PeopleOnStreet,",comp_14.pkl,а,количественное сравнение (в процентах): в среднем .. наибольший,нет,да (наибольший/в среднем),"да (выигрыш, скорость сжатия)",нет,нет,2,,наука,,,
,агент-расчетчик соответственно проводит МКЭ-расчет конструкции;,comparison_m,агент-исполнитель объединяет в себе роли стратега и планировщика шага;,comp_44.pkl,nd,параллельные конструкции,нет,нет,нет,нет,нет,nd,,наука,,,
,агент-менеджер выполняет роли субординатора и заказчика.,comparison_m,агент-исполнитель объединяет в себе роли стратега и планировщика шага;,comp_44.pkl,nd,параллельные конструкции,нет ,да объединяет выполняет,да,нет,нет,nd,,наука,,,
,"но, в отличие от сети локального уровня прогнозирования, на ее вход подается не только новое значение сечения «подшефного» элемента, но и значения сечений других элементов конструкции.",comparison_m,"Эта система также программно реализуются в форме сети Кохонена с двумя выходами,",comp_44.pkl,но в отличие от,также,нет,да конструкция-ситема,нет,да сеть - этот,нет,2,,наука,,,
,Для полноты картины на рис. 3 приведены кривые откликов на экзогенное единичное воздействие g(t) = 1(t) тех же систем с ПФ (6) для Т = 1с (а = 1с^-1) и значений п = 2; 3; 5; 10; 20; 40. [ Рис. 3. Кривые откликов y(t) на экзогенное единичное воздействие g(t) = l(t) тех же систем с ПФ (6) для Т = 1с(а = 1с^-1) и значений п = 2; 3; 5; 10; 20; 40],comparison_m,"На рис. 1 приведены кривые откликов на экзогенное воздействие [формула] систем с ПФ (6) для [формула] и значений п = 2; 3; 5; 10; 20; 40. Кривые четко подтверждают результат (10). На рис. 2 приведены кривые модифицированных откликов на экзогенное воздействие [формула] систем с ПФ (6) для Т = 1с ( а = 1с^-1) и значений п = 2; 3; 5; 10; 20; 40, построенные на основе кривых рис. 1 и значений коэффициентов нормализации Кн, вычисляемые по данным таблицы. [Рис. 1. Кривые откликов у (t) на экзогенное воздействие g(t ) = S(t) систем с ПФ (6) для Т = 1с(а = 1с^-1) и значений п = 2; 3; 5; 10; 20; 40] [ Рис. 2. Кривые модифицированных откликов у (t) на g (t) = l(t) систем с ПФ (6) для Т = 1с (а = 1с^-1) и значений п = 2; 3; 5; 10; 20; 40]",comp_43.pkl,nd,количественное сравнение,нет,нет,да,нет,нет,nd,,наука,,,
,с другой — не отвергали исследовательских методик языковедов-традиционалистов.,comparison_m,"которые бы, с одной стороны, были ориентированы на поиск закономерностей, выявление и формализацию правил ЕЯ, а затем и на их программное подтверждение,",comp_45.pkl,с одной стороны... с другой стороны,,нет,нет,нет,нет,да,both,,наука,,контраст,
,все остальные — в зону неопределенности.,comparison_m,"В зону определенности попадают отображения со значениями переменной х1 и х2,",comp_45.pkl,nd,"параллельные конструкции, антонимы, которые заданы через не- (зона определенности - зона неопределенности)",нет,нет,нет,нет,определенность-неопределенность,nd,,наука,,,
,"Первый используется естественными и техническими науками и ориентирован на выявление в исследуемом материале основных закономерностей, которые могут быть представлены в виде упрощенных (обедненных), но легко формализуемых схем.",comparison_m,"Второй подход используется для полного описания отдельно взятого объекта или его свойства, имеющего особое значение для понимания сущности всего явления.",comp_45.pkl,первый X... второй X,"параллельные конструкции (первый подход - второй подход), антитеза [общее] - [частное]",да (первый/второй),нет,нет,отдельно-закономерность,нет,both,контраст,наука,,,
в контраст,то при изучении сочетаемости морфем в словообразовательных процессах [8] значимость экспертизы весьма понятна.,comparison_m,"И если в случае сочетаемости слов важность экспертных оценок не так очевидна,",comp_45.pkl,если... то,"весьма, параллельные конструкции",да (не так очевидна/понятна),,,,да,both,,наука,,,
,в реальных задачах разница будет ещё более существенной).,comparison_m,"в таком простом примере задачу обучения распознаванию всего объекта можно считать в 28 = 256 раз более сложной по сравнению с обучением распознаванию отдельной части,",comp_13.pkl,более,,нет,нет,нет,да,нет,2,,наука,,,
,"чем закладывать возможность перекрытия в обучающие данные распознающего алгоритма,",comparison_m,"В конечном итоге явно моделировать перекрытия выгоднее,",comp_13.pkl,сравнит. степень + чем,,нет,нет,да,нет,нет,both,,наука,,,
,"В конечном итоге явно моделировать перекрытия выгоднее, чем закладывать возможность перекрытия в обучающие данные распознающего алгоритма, поскольку в случае явного моделирования система будет ориентироваться только на непрерывные перекрытия соседних частей объекта,",comparison_m,"в то время как для алгоритма без априорных знаний одинаково возможны как непрерывные перекрытия, так и несвязные перекрытия отдельных частей объекта, которые невозможны в действительности.",comp_13.pkl,в то время как,одинаково,нет,нет,да,нет,нет,2,Контраст,наука,,,
,"В рамках системного подхода конфликт трактуют как комплементарное, знаковое или комплементарно-знаковое противоречие, в котором оба противоположных отношения одновременно истинны.",comparison_m,"В литературе чаще всего его определяют как противоборство сторон, преследующих несовместимые цели.",comp_39.pkl,nd,параллельные конструкции,нет,да противоречие-противоборство,нет,нет,нет,nd,,наука,,,
,Конфликт понимают как дисбаланс внутренних и/или внешних отношений системы.,comparison_m,"В литературе чаще всего его определяют как противоборство сторон, преследующих несовместимые цели.",comp_39.pkl,nd,"чаще всего, параллельные конструкции",нет,да дисбаланс противоборотво,нет,нет,нет,nd,,наука,,,
,"а Гайворонский и Пфлуг вводят специальную «сглаженную» версию рискового капитала (Gaivoronski A., Pflug G. Op.cit.).",comparison_m,"16. В частности, в работе: Campbell R, Huisman R, Koedijk K. Op. cit. предполагается t-распределение Стьюдента, ",comp_38.pkl,nd,,нет,нет,нет,в частности,нет,nd,,наука,,,
,чем больше скорость вращения ротора.,comparison_m,"и тем больше,",comp_5.pkl,чем… тем,,нет,нет,нет,нет,нет,both,,наука,,,
,а параметрическая е -инвариантность характеризуется заметной величиной е.,comparison_m,"что выход системы не обладает абсолютной параметрической инвариантностью,",comp_50.pkl,а,параллельные конструкции,нет,да заметный-абсолютный,да,нет,нет,2,,наука,,,
,"Следует отметить, что если известны матрицы А, В, Л, Н , то уравнение (3) решается относительно матрицы М ,",comparison_m,"а если известны А,В, Л, М , то уравнение (3) решается относительно матрицы Н в форме [формула].",comp_50.pkl,а,количественное сравнение,нет,нет,да,нет,нет,2,,наука,,,
в контраст,"а по результатам сравнения данных показателей с показателем, рассчитанным при идеально функционирующей, гипотетической, системе МС (с его критериальным значением, установленным для решаемой задачи), выводится абсолютная оценка исследуемых вариантов.",comparison_m,"По результатам сравнения показателей эффективности объекта управления производится относительная оценка вариантов организации или построения СМС,",comp_35.pkl,а,параллельные конструкции,да (относительный/абсолютный),нет,да (по результатам сравнения показателей; оценка),нет,нет,2,,наука,,,
,"Частичная оптимизация по результатам последовательного анализа становится возможной благодаря разбиению процесса синтеза систем на ряд стадий, что обеспечивает уменьшение размерности решаемой задачи [9]. При этом необходимо иметь в виду, что оптимизируемым объектом может быть не система в целом, а лишь та или иная ее характеристика. Именно в случае, когда процесс формирования сложных систем проходит ряд стадий, и возникает потребность в такой частичной оптимизации.",comparison_m,"Вместе с тем общая оптимизация становится возможной потому, что в процессе формирования системы происходит постепенная, т. е. поэтапная ее оптимизация на основе последовательного анализа.",comp_35.pkl,вместе с тем,"параллельные конструкции, антонимы",нет,да ,да,"да (общая, частичная)",нет,2,,наука,,,
,хорошо совпадающими по форме с кривой исходного контура ,comparison_m,"и в то же время инвариантными относительно изменения масштаба, количества измерений, уровня помех.",comp_47.pkl,и в то же время,,да совпадающий инфариантный,нет,нет,нет,нет,2,,наука,,,
,а атомарная формула с отрицанием называется отрицательным литералом.,comparison_m,"Литералом называется атомарная формула,",comp_51.pkl,а,параллельные конструкции,нет,нет,"да (атомарная формула, литерал)",нет,нет,2,,наука,,,
,"Преимуществами указанного типа моделей являются: \- простота и ясность основной единицы - продукционного правила; \- независимость продукций и легкость модификации баз знаний; \- строгость, простота и изученность механизма логического вывода; \- эффективность логического вывода.",comparison_m,К недостаткам можно отнести: \- малую степень структурированности базы знаний; \- неуниверсальность.,comp_51.pkl,nd,"параллельные конструкции, антонимы",да преимущества недостатки,нет,нет,нет,нет,nd,,наука,,,
,"Связи представляют собой ссылки от одного тикета к другому и могут иметь следующие типы: «has clone», «duplicates», «introduces», «incorporates», «relates».",comparison_m,"Симметричными им являются соответственно: «clone of», «is duplicated by», «introduced by», «is incorporated by», «is related to».",comp_51.pkl,являться симметричным,соответственно,нет,нет,нет,нет,нет,2,,наука,,,
,а на её последующую синхронизацию потребуется уже гораздо меньшее количество времени.,comparison_m,"Первичная запись локальной базы данных на ноутбук происходит в течение нескольких часов,",comp_46.pkl,а,"меньшее, гораздо",нет,"квази (часы, время)",нет,нет,нет,2,,наука,,,
,"в случае же больших объемов данных, которые требуют регулярной синхронизации, необходимо использовать Web SQL.",comparison_m,"Перечисленные подходы дают возможность хранить незначительные объемы данных при помощи Web Storage (html-код, cookies, css и т. д.),",comp_46.pkl,в случае же ,"параллельные конструкции, антонимы",да большой незначительный,нет,нет,нет,нет,2,,наука,,конверсивы требовать-давать,зеркально
,"Рассматривая мобильную версию МИС компании «Информационно-медицинский центр», можно отметить её широкие возможности, но отсутствие возможности работы без сети не позволяет использовать ее для решения поставленной задачи.",comparison_m,"В результате исследования рынка имеющихся продуктов, позволяющих решить имеющуюся проблему, были выявлены как непосредственно положительные, так и отрицательные стороны. К положительным, безусловно, относится возможность МИС «Кондопога» и «Медиалог» работать в режиме офлайн и в дальнейшем синхронизировать информацию с сервером, но приложения доступны только для персональных компьютеров или же ноутбуков систем Windows. Для организации же работы врача скорее приемлем планшет или смартфон в связи с их мобильностью.",comp_46.pkl,nd,,нет,нет,нет,нет,нет,nd,,наука,,,
