№/название текста,Id,Контекст,Ядро,№,Сателлит/Ядро-2,№,Тип отношения,Маркер,"""Доп. комп-ты"" маркера",Антонимы,Синонимы,Повторы,Гипонимы/гиперонимы,NKRYA: yes/no/nm,rusgram: yes/no/nm,verb/noun/preposition/adverb/adverbial/conjunction/lexfunc,w/mwu/nm,prim/sec/punct/nm,marker in Nuc=1/Sat=2,clause initial / clause internal/nm (marker position),sent initial /no/nm (marker position),???discontinuity,межсент/ межклауз/внутриклауз,"Отрицание, как","Отрицание, где",ana/nd,Nucl=this/that/what/nd/,Sat=this/that/what/nd/,Количество ЭДЕ в 1,Количество ЭДЕ во 2,order of nucleus: 1/2,order of sattelite,Nucl=ind/compl+ind/conv/part/nmz/N/NP,Sat=ind/compl+ind/conv/part/nmz/N/NP,жанр
comp_51.pkl,375,,"В данном случае взаимодействие с СОЗ, построенной на программной платформе JIRA, осуществляется по протоколу HTTP,",,но может быть реализовано непосредственно через базу данных СОЗ и программное API.,,Contrast,но,"непосредственно, в данном случае",нет,да (осуществляется-реализованный),нет,нет,,,,,,2,,,,межклауз,nd,nd,,,,2,2,,,,,наука
comp_51.pkl,376,,"которых не было в системе,",,"но которые должны в ней быть, следуя описанным ограничениям.",,Contrast,но,-,да (не было-должны быть),нет,нет,нет,,,,,,2,,,,межклауз,не,1,,,,1,2,,,,,наука
comp_53.pkl,377,,"Решение задач проектирования КИС предполагает использование эффективных моделей и математических методов [7-10], позволяющих проводить качественный и количественный анализ характеристик функционирования системы в зависимости от структурных, нагрузочных и функциональных параметров. Одной из основных характеристик, определяемых в процессе анализа КИС, является время доставки сообщения от узла отправителя к узлу-адресату. Результаты, представленные в [5], позволяют рассчитать лишь средние значения времени доставки сообщений разных типов.",,"В то же время на практике значительно больший интерес представляет не среднее время, а вероятность своевременной доставки сообщений разных типов (например, оперативных, служебных, диалоговых, файловых и т.п.) от узла-отправителя к узлу-адресату. Кроме того, необходимо учитывать возможность использования приоритетных способов управления информационными потоками, построенных на базе дисциплин обслуживания общего вида со смешанными приоритетами.",,Contrast,в то же время,-,да (наука-практика),нет,нет,нет,,,,,,2,,,,межсент,не,2,,,,4,3,,,,,наука
comp_53.pkl,378,,"Конечные результаты, полученные при таком подходе, являются приближенными, поскольку в случае приоритетного управления потоки сообщений разных классов на выходе узлов, а следовательно, и на входе, отличаются от простейших.",,"Однако как показало исследование характера потоков и их влияния на результаты расчета, в широкой области значений параметров, соответствующих реальным системам, погрешности результатов находятся в приемлемых для инженерных расчетов пределах.",,Contrast,однако,как показало исследование,нет,нет,нет,нет,,,,,,2,,,,межсент,nd,nd,,,,3,2,,,,,наука
comp_6.pkl,379,,"Если горизонтальная декомпозиция не используется, то [символ] .",,"Используя горизонтальную декомпозицию сигнала, можно уменьшить значения [символ]. Кроме того, значения [символ] для дочерних узлов также могут быть сокращены. Очевидно, для выигрыша в результате применения горизонтальной декомпозиции должно выполняться условие [формула], (2) где [символ] - цена до внесения данного узла горизонтальной декомпозиции, а [символ]- после. Таким образом, прирост цены за счет кодирования горизонтальной декомпозиции должен быть меньше выигрыша за счет уменьшения бит для кодирования значений аппроксимации и других горизонтальных декомпозиций (если таковые уже имеются).",,Contrast,no marker,очевидно,да (используется-не используется),нет,да (горизонтальная декомпозиция),нет,,,,,,nd,,,,межсент,не,1,,,,2,9,,,,,наука
comp_6.pkl,380,,"В настоящее время основная доля внимания уделяется сжатию трехмерных графических структур, которые используются в компьютерных играх, обучающих программах, компьютерном дизайне. Чаще всего именно в этом контексте исследуется проблема эффективного хранения информации об объемных изображениях.",,"Тем не менее, это не единственная прикладная область, где могут быть востребованы уже имеющиеся наработки. Некоторые из подходов с определенными оговорками могут быть применены и для сжатия двумерной растровой графики.",,Contrast,тем не менее,"с определенными оговорками, уже",нет,нет,нет,да (основной - единственный),,,,,,2,,,,межсент,не,2,,,,2,2,,,,,наука
comp_6.pkl,381,,"Уже предложенные схемы сжатия не используют трехмерную декомпозицию с последующей аппроксимацией узлов, ограничиваясь двумерным разбиением.",,"Однако использование ЭБ-декомпозиции позволяет сократить объем данных, требуемых для представления значений аппроксимации. Так, одна операция горизонтального разбиения позволяет сократить число разрядов для представления значений аппроксимации сразу нескольких узлов.",,Contrast,однако,"уже, так",да (не используют-использование),да (ограничить-сократить),да ( декомпозиция),нет,,,,,,2,,,,межсент,не,1,,,,1,2,,,,,наука
comp_6.pkl,382,,"Отметим, что в литературе [2] производится обобщение таких структур для пространства любой размерности,",,"однако в прикладной области востребованными остаются, в основном, только двух- и трехмерные деревья.",,Contrast,однако,только,да *квази (литература-прикладной),нет,да (размерность-трехмерный),"да (любой - два, три)",,,,,,2,,,,межклауз,nd,nd,,,,1,1,,,,,наука
comp_6.pkl,383,,"Если выигрыш в битах положителен, узел добавляется.",,В противном случае поднимаемся на уровень выше. Функция цены (1) в этом случае примет следующий вид: [формула] где [символ] - параметр аппроксимации.,,Contrast,в противном случае,при этом,нет,нет,нет,нет,,,,,,2,,,,межсент,nd,nd,,,,2,2,,,,,наука
comp_6.pkl,384,,"Если узел конечный, кодируются значения аппроксимации.",,"Если узел составной, одним битом кодируется тип разбиения (вертикальное или горизонтальное), далее кодируется позиция разбиения, на что требуется [символ] или [символ] бит для вертикального и горизонтального разбиения соответственно. Причем [символ] и [символ] - число возможных линий деления по вертикали и горизонтали для данной области.",,Contrast,no marker,-,нет,нет,"да (если, узел, кодироваться)",нет,,,,,,nd,,,,межсент,nd,nd,,,,2,5,,,,,наука
comp_6.pkl,385,,те или иные схемы разбиения так или иначе будут зависеть от характеристики искажения сигнала при заданном параметре качества сжатия,,"(либо, наоборот, при заданной ошибке ищется способ наилучшего сжатия).",,Contrast,наоборот,так или иначе,нет,нет,нет,нет,,,,,,2,,,,межклауз,nd,nd,,,,1,1,,,,,наука
comp_6.pkl,386,,"В данном случае нас интересуют только прямоугольные окрестности,",,хотя можно сделать обобщение на случай произвольной четырех- или восьмисвязной области.,,Concession,no marker,,,,,,,,,,,,,,,,,,,,,,,,,,,наука
comp_7.pkl,387,,Первые обычно записываются в конец файлов (по принципу файлового вируса) и каждый раз при запуске файла проверяют его на изменение. Такие иммунизаторы имеют один существенный недостаток: они не способны обнаружить заражение вирусами- невидимками.,,"Иммунизаторы второго типа защищают систему от заражения каким- либо определенным вирусом. Блокирующий иммунизатор помечает файлы таким же образом, как и нейтрализуемый вирус, благодаря чему тот считает их уже зараженными. Например, чтобы предотвратить заражение COM-файла вирусом Jerusalem, достаточно дописать в конец файла строку MSDos. Для защиты от резидентного вируса в память компьютера заносится программа, имитирующая копию вируса. При запуске вирус обнаруживает ее и считает, что система уже заражена.",,Contrast,no marker,такой же,"да *квази (первый-второй, защищают-не способны обнаружить)","да (вирус, зараженный)","да (иммунизатор, заражение вирусами)",нет,,,,,,nd,,,,межсент,nd,nd,,,,4,8,,,,,наука
comp_7.pkl,388,,"Во-первых, они не способны поймать вирус в момент его появления в системе,",,"а делают это лишь через некоторое время - после того, как вирус заразит хотя бы один объект.",,Contrast,не ... а,"лишь, эллипс",нет,нет,нет,да (в момент - через некоторое время),,,,,,both,,,,межклауз,не,1,,,,1,2,,,,,наука
comp_7.pkl,389,,"За последние годы локальные вычислительные сети (ЛВС), совершив неоспоримый технологический прорыв, стали неотъемлемой составляющей производственно- технологической базы любой организации как крупного, так среднего и малого бизнеса не только в России, но и за рубежом. Корпоративные информационные системы становятся сегодня одним из главных инструментов управления бизнесом и фактически важнейшим средством производства любой компании.",,"Однако новые информационные технологии, применяемые в ЛВС, не только значительно расширили возможности организаций, но и сделали их более уязвимыми для вероятных нарушителей информационной безопасности.",,Contrast,однако,"уязвимый, не только.. но и",нет,нет,нет,нет,,,,,,2,,,,межсент,nd,nd,,,,3,2,,,,,наука
comp_7.pkl,390,,"Например, чтобы предотвратить заражение COM-файла вирусом Jerusalem, достаточно дописать в конец файла строку MSDos.",,"Для защиты от резидентного вирусав память компьютера заносится программа, имитирующая копию вируса. При запуске вирус обнаруживает ее и считает, что система уже заражена.",,Contrast,no marker,-,нет,"да (вирус, заражение, чтобы-для. защитить-предотвратить)",нет,нет,,,,,,nd,,,,межсент,nd,nd,,,,2,4,,,,,наука
comp_7.pkl,391,,Существующие сегодня поведенческие блокираторы не предназначены для удаления вирусов.,,Их цель - обнаружение и предотвращение распространения вирусов,,Contrast,no marker,-,да (не предназначен - его цель),нет,да (вирусы),нет,,,,,,nd,,,,межсент,не,1,,,,1,1,,,,,
comp_7.pkl,392,,"Тем не менее, специализированные инструменты отражения «сетевых» угроз будут рассмотрены отдельно.",,"Последние версии антивирусных пакетов содержат в своем составе также и средства борьбы с вредоносными программами, проникающими из сети.",,Concession,no marker,,,,,,,,,,,,,,,,,,,,,,,,,,,наука
comp_8.pkl,393,,"В большинстве предлагаемых для решения этой задачи методик рассматриваются только программно-технические (ПТ) атаки, использующие известные уязвимости в программном и аппаратном обеспечении,",,"однако не учитывается, что успешная реализация социоинженерных (СИ) атак обеспечивает злоумышленнику плацдарм для проведения программно- технических атак и приносит зачастую значительно больший ущерб.",,Contrast,однако,"зачастую, только",нет,нет,нет,нет,,,,,,2,,,,межклауз,не,2,,,,1,2,,,,,наука
comp_8.pkl,394,,"основное отличие ПТ- от СИ-атак заключается в том, что при успешной реализации ПТ-атаки нарушитель получает сведения только об атакуемой вычислительной платформе,",,"а при успешной реализации СИ-атаки нарушитель может получить все сведения об ИС, известные пользователю.",,Contrast,а,"только, все",нет,нет,нет,нет,,,,,,2,,,,межклауз,nd,nd,,,,1,1,,,,,наука
comp_8.pkl,395,,"Множество потенциальных СИ-атак формируется экспертами,",,множество ПТ-атак строится на основе баз данных.,,Contrast,no marker,параллельные конструкции,нет,нет,"да (атаки, множество)",нет,,,,,,nd,,,,межклауз,nd,nd,,,,1,1,,,,,наука
comp_8.pkl,396,,"Предлагаемый в настоящей работе подход к оценке защищенности базируется на концепциях, моделях и методиках, представленных в указанных выше работах.",,"основным его отличием является возможность получения результатов анализа защищенности (множества показателей защищенности) путем построения и анализа дерева атак, в котором наряду с программно-техническими атаками, направленными на технические средства ИС, представлены социоинженерные атаки, объектами которых являются санкционированные пользователи.",,Contrast,no marker,отличие,нет,нет,нет,нет,,,,,,nd,,,,межклауз,nd,nd,,,,1,1,,,,,наука
ling_10.pkl,397,,"Наличие значительного количества словарных проектов не обеспечивает полной решённости проблемы,",,но создаёт серьёзные предпосылки для дальнейшей разработки способов лексикографирования паремий с позиций межкультурной коммуникации.,,Contrast,не ... но,-,нет,нет,нет,нет,,,,,,both,,,,межклауз,не,1,,,,1,1,,,,,наука
ling_10.pkl,398,,"изучая пословицы, можно многое узнать о народе и его культуре;",,"а сопоставляя паремии в разных языках, можно открыть много полезного для повышения эффективности межкультурной коммуникации.",,Contrast,а,-,нет,"да (изучать, сопоставлять, пословицы-паремии)",да (культура-межкультурный),нет,,,,,,2,,,,межклауз,nd,nd,,,,2,2,,,,,наука
ling_10.pkl,399,,К большинству пословиц даётся русскоязычный аналог.,,"Там, где аналога нет, приводится развёрнутый комментарий.",,Contrast,no marker,-,да (дается-нет),нет,да (аналог),да (большинство-там),,,,,,nd,,,,межсент,нет,2,,,,1,1,,,,,наука
ling_11.pkl,400,,"Рифменная позиция делает неологизм заметнее, структурно и фонетически выделяет его.",,"Однако для того чтобы с полной уверенностью делать такое утверждение, нужно проанализировать отмеченность авторских слов не только с количественной, но и с качественной точки зрения.",,Contrast,однако,не только.. но и,нет,нет,нет,нет,,,,,,2,,,,межсент,nd,nd,,,,2,3,,,,,наука
ling_11.pkl,401,,"Выражение да ты с польцой понимается в этом контексте как причисление к польской нации,",,"но благодаря слову трусца, оно приобретает оттенок неодобрительного значения. Все имена существительные, образованные от прилагательных с помощью суффикса -ц, (ср.: гнильца, хитреца, хрипотца, ленца), обладают негативным экспрессивным ореолом.",,Contrast,но,"благодаря, все",нет,нет,нет,нет,,,,,,2,,,,межклауз,неодобрительный,2,,,,1,3,,,,,наука
ling_11.pkl,402,,"то статистика не столь значима,",,"нужны, напротив, языковые прецеденты для различных типов рифм-неологизмов.",,Contrast,напротив,не столь,нет,нет,нет,нет,,,,,,2,,,,межклауз,не,1,,,,1,1,,,,,наука
ling_11.pkl,403,,"Из них в рифменную позицию, согласно нашим подсчетам, помещены 49,1 % (1084 слова), зарифмованы но расположены в середине или в начале строки 27,8 % (614 слов).",,Не зарифмованы 23 % (508 слов).,,Contrast,no marker,-,да (зарифмованны - не зарифмованы),нет,да (слов),нет,,,,,,nd,,,,межсент,не,2,,,,4,1,,,,,наука
ling_11.pkl,404,,"Некоторые из них употребляются только один раз,",,другие — несколько раз.,,Contrast,no marker,"эллипс, только",да (некоторые-другие),нет,да .(раз),да (один-несколько),,,,,,nd,,,,межклауз,nd,nd,,,,1,1,,,,,наука
ling_11.pkl,405,,"«Поэтический неологизм» или «авторское слово», как неоднократно отмечала Л. В. Зубова, является более удачным термином, чем «окказиональное слово», потому что, в отличие от него, не привносит этимологического значения оценочности5. Окказионализм — случайное слово (от англ. occasional — случайный).",,"В поэтическом языке М. Цветаевой неологизмы — не случайное, а системное явление, они органично включены в языковую картину мира поэта, раскрывают особенности поэтического мышления, помогают понять особенности эстетического отношения поэта к слову.",,Contrast,no marker,не...а,,,,,,,,,,2,,,,межсент,не,2,,,,4,4,,,,,наука
ling_11.pkl,406,,"Из-за фонетической близости неологизмов и комбинации разных типов рифм, в том числе диссонансных, сложно уловить, какое слово с каким именно перекликается.",,"Скорее возникает ощущение, что все слова связаны повторением общих фонетических комплексов, содержащих суффикс -щин, окончание -е, но с разными ударными гласными.",,Contrast,скорее,"но,все",нет,нет,нет,нет,,,,,,nd,,,,межсент,nd,nd,,,,3,2,,,,,наука
ling_11.pkl,407,,"Трусца вне приведенного контекста воспринимается как узуальное слово, обозначающее неторопливый бег, мелкую рысь11.",,Но в данном случае трусцой зарифмовано с польцой.,,Contrast,но,в данном случае,нет,нет,да (трусца-трусцой),нет,,,,,,2,,,,межсент,nd,nd,,,,1,1,,,,,наука
ling_11.pkl,408,,"где рифма не нужна,",,"а неологизм нужен,",,Contrast,не ... а,-,да (нужен-не нужен),нет,нет,нет,,,,,,both,,,,межклауз,не,1,,,,1,1,,,,,наука
ling_11.pkl,409,,В литературном языке денотативная отнесенность слова чучело определяется по контексту.,,"Но М. Цветаева дает его с диалектно-просторечной флексией женского рода винительного падежа -у, тем самым унифицируя его с предыдущим рядом слов.",,Contrast,но,-,нет,нет,нет,нет,,,,,,2,,,,межсент,nd,nd,,,,2,1,,,,,наука
ling_12.pkl,410,,"Мысль о том, что фонетическая орфография - «идеал, к которому должны стремиться все языки», теоретически прекрасна,",,"«но, как часто бывает, она расходится с практикой и едва ли осуществима», т.к. почти «везде письмо не в точности следует за произношением»: азбука, будучи заимствованной у другого народа, в большинстве случаев не вполне отвечает звукам языка [11, с. 634-635].",,Contrast,но,"как часто бывает, почти везде,все, едва ли","да*квази (идеал-расходиться, не отвечать, орфография-произношение)",да (орфография-письмо),нет,нет,,,,,,2,,,,межклауз,не,2,,,,1,5,,,,,наука
ling_12.pkl,411,,"предписывалось отменить двойные согласные в иноязычных словах, например, писать асимиляция, дисимиляция, иригация, корозия; удвоение сохранялось в словах ванна, гамма, сумма,",,но список слов считался еще не окончательным.,,Contrast,но,еще,нет,нет,нет,нет,,,,,,2,,,,межклауз,не,2,,,,2,1,,,,,наука
ling_12.pkl,412,,"Являясь сторонником упрощения русского правописания, В. И. Даль выступает за искоренение удвоенных согласных как противных русскому языку и потому не воспроизводимых в речи. Причины использования удвоенных согласных в языке видятся им: 1) в тщеславии: «мы знаем все языки»; 2) в невежестве: «мы не знаем своего» [4, с. 24].",,"Возражая ему, Я. К. Грот отмечает, что это мнение может быть справедливым лишь в отношении церковнославянского или древнерусского языка. «Нынешний язык, напротив того, показывает во многих случаях склонность к удвоению согласных», которое «происходит в нем либо по закону образования слов, либо по безотчетному требованию слуха» [2, с. 86].",,Contrast,no marker,"возражая, лишь, справедливый","да (сторонник-возражать, искоренение-склонность, знать-безотчетный)",нет,"да (русский-древнерусский, язык)",нет,,,,,,2,,,,межсент,nd,nd,,,,6,3,,,,,наука
ling_12.pkl,413,,"Для слов, которые произносятся с долгими согласными, необходимо оставить старое написание,",,"но таких заимствований немного,",,Contrast,но,такой,нет,нет,нет,нет,,,,,,2,,,,межклауз,немного,2,,,,1,1,,,,,наука
ling_12.pkl,414,,"Описывая произношение лексем с консонантным удвоением не на стыке морфем, С. М. Кузьмина выделяет словоформы, произносимые: 1) только с согласным нормальной длительности: аппетит, суббота, терраса, класс, программный; 2) только с долгим согласным: ванна, тонна, касса, сумма; 3) «и с долгим согласным, и с согласным нормальной длительности» даже в речи одного лица: группа, программа, пропеллер, аллегро, эффект.",,"Но такое разделение носит условный характер и в исследованиях разных авторов «произношение одних и тех же слов оценивается по-разному» [6, с. 51].",,Contrast,но,"такой, условный,даже, только",нет,нет,нет,нет,,,,,,2,,,,межсент,nd,nd,,,,1,1,,,,,наука
ling_12.pkl,415,,"Принятие нового свода правил, несомненно, упростило бы работу по орфографии новых слов, ",,"но в русском языке довольно большое количество заимствований, которые освоены языком,",,Contrast,но,-,нет,нет,нет,нет,,,,,,2,,,,межклауз,nd,nd,,,,2,1,,,,,наука
ling_12.pkl,416,,"Большинство иноязычных слов, заимствованных еще в петровскую эпоху, утратило удвоение согласных.",,"Но в то же время «в старинных заимствованиях» иногда сохраняется удвоение, например, аттестат, коллегия [Там же].",,Contrast,но,в то же время,да (сохраняться-утратить),нет,да (заимствованный-заимствование),да (большинство-иногда),,,,,,2,,,,межсент,nd,nd,,,,2,1,,,,,наука
ling_12.pkl,417,,"Одни из предписаний академика закрепились в языке,",,"другие, так и не были восприняты языковой практикой и, вопреки рекомендациям ученого, остались на периферии истории языка.",,Contrast,no marker,так и,"да (одни-другие, закрепиться-не быть воспринятым",да (предписание-рекомендация),да (язык),нет,,,,,,nd,,,,межклауз,не,2,,,,1,3,,,,,наука
ling_12.pkl,418,,"можно встретить также вариант аппарта- мент, слово индиферентизм (от лат. indifferens (indifferentis)),",,"хотя часто писали индифферентизм, в котором Я. К. Грот, один из кодификаторов русского правописания, призывал не удваивать букву ф, т.к. удвоение в таких словах исчезло, и нет необходимости его восстанавливать.",,Concession,хотя,,,,,,,,,,,,,,,,"не, нет",2,,,,,,,,,,наука
ling_12.pkl,419,,"он может быть представлен как долгим, так и кратким произносительным вариантом.",,"Несмотря на то, что графически удвоенный согласный занимает сильную позицию,",,Concession,несмотря на X,,,,,,,,,,,,,,,,,,,,,,,,,,,наука
ling_12.pkl,420,,"можно встретить также вариант аппарта- мент, слово индиферентизм (от лат. indifferens (indifferentis)),",,"хотя часто писали индифферентизм,",,Concession,хотя,,,,,,,,,,,,,,,,,,,,,,,,,,,наука
ling_12.pkl,421,,остались на периферии истории языка.,,"вопреки рекомендациям ученого,",,Concession,вопреки X,,,,,,,,,,,,,,,,,,,,,,,,,,,наука
ling_13.pkl,422,,"Это было допустимо для перевода 1930-го года,",,"но в новой редакции следовало привести современные написания имен (Хугован дер Гус вместо Фан дер Гус, Вермеер вместо Фермер), унифицировать наименования, привести текст в соответствие с современным искусствознанием, сопроводить разъясняющими комментариями.",,Contrast,но,-,нет,нет,нет,нет,,,,,,2,,,,межклауз,nd,nd,,,,1,4,,,,,наука
ling_14.pkl,423,,"Последовательно реализовать эту позицию сейчас достаточно сложно, поскольку у нас нет отчетливого представления о том, в чем же заключается общественное благо.",,"Но признание данного факта не означает автоматического перехода на либеральную позицию. Более того, реформы нашего образования ведут к коммодификации образования, то есть к концептуализации образования в терминах «товар» и «услуга».",,Contrast,но,данный,нет,нет,нет,нет,,,,,,2,,,,межсент,"нет, не","1,2",,,,2,3,,,,,наука
ling_14.pkl,424,,"В современном открытом обществе роль образования меняется, оно становится важнейшим лифтом социальной мобильности, то есть культурный капитал может стать средством получения экономического и политического капитала.",,"Однако при всей внешней доступности образования мы говорим прежде всего о высшем образовании, есть серьезные препятствия на пути его получения, их можно определить как «классовый этос». «Классовый этос» - это система латентных ценностей, интериоризированных людьми с детства» [5, с. 278]. Каждый социальный слой создает свой мир, стиль жизни, со своими ценностными предпочтениями. Вырастая в определенной среде, человек усваивает ее культуру, привыкает к ней и в дальнейшем соизмеряет свои жизненные цели с доминантами «своей» культуры. Если в низших слоях нет ценности интеллектуальной деятельности, понимания значимости образования, то дети из этих слоев не будут стремиться к получению знаний. Более того, возникшее желание подняться выше может быть сведено на нет трудностями адаптации к новому окружению.",,Contrast,однако,прежде всего,нет,нет,нет,нет,,,,,,2,,,,межсент,сведено на нет,2,,,,3,11,,,,,наука
ling_14.pkl,425,,"Разумеется, мы сконструировали идеальную образовательную модель, реализуемую на практике с определенными оговорками и допущениями.",,"Но именно этот идеал задает целеполагание, делает педагогический труд осмысленным, творческим, спасая от давления повседневности.",,Contrast,но,"именно,этот",нет,нет,нет,нет,,,,,,2,,,,межсент,nd,nd,,,,1,3,,,,,наука
ling_14.pkl,426,,"Есть некие фундаментальные образовательные объекты, онтологические сущности, концентрирующие в себе бытийную реальность. Это природные, культурные объекты, определяемые для каждой познавательной области, представляющие собой набор категорий, законов и принципов, которые ученик должен усвоить как некую научную данность.",,"Но есть сферы знания, допускающие личностное отношение, когда ученик может объединить социокультурный и собственный субъективный опыт в понимании некоего определенного феномена, т. е. он сам найдет ответы на сформулированные учителем эвристически значимые вопросы, сам придет к неким выводам.",,Contrast,но,онтологические сущности vs личное отношение,нет,нет,нет,нет,,,,,,2,,,,межсент,nd,nd,,,,2,4,,,,,наука
ling_14.pkl,427,,Современное русское литературное произношение сложилось на основе устной речи Москвы XIX в.,,"Однако на почве местных языковых особенностей в различных регионах нашей страны сформировался родной говор, одним из важнейших признаков которого является отступление от норм литературного языка.",,Contrast,однако,важнейший,нет,нет,нет,нет,,,,,,2,,,,межсент,nd,nd,,,,1,2,,,,,наука
ling_14.pkl,428,,"Возможно, это и так,",,"но когда мы оказываемся в ситуации глубоких социокультурных изменений, вопрос о смыслах и конкретно о целях образования должен быть поставлен заново.",,Contrast,но,"конкретно, возможно это и так",нет,нет,нет,нет,,,,,,2,,,,межклауз,nd,nd,,,,1,2,,,,,наука
ling_16.pkl,430,,"необходимо приблизиться к пониманию реального, объективно существующего смысла ситуации, которая программируется в самой структуре игры.",,"недостаточно полагаться только на своё собственное восприятие, опыт и компетенцию,",,Contrast,no marker,только,да *квази (реальный-собственный),нет,нет,нет,,,,,,nd,,,,межклауз,недостаточно,2,,,,1,1,,,,,наука
ling_17.pkl,431,,не утратила своей функциональной активности в речевом пространстве Шалакуши Няндомского района Архангельской области.,,"несмотря на изменения в образе жизни современного населения Архангельского Севера,",,Concession,несмотря на X,,,,,,,,,,,,,,,,,,,,,,,,,,,наука
ling_18.pkl,432,,"Таким образом, наиболее характерными чертами образа идеальной женщины русскоязычного рекламного парфюмерного дискурса являются: привлекательность, сексуальность, женственность, чувственность, элегантность, гламурность, уверенность в себе, неповторимость и уникальность. Большинство вышеперечисленных признаков характерны и для немецкоязычного дискурса. Представления об идеальной женщине также связаны с такими понятиями, как привлекательность, сексуальность, женственность, чувственность, элегантность, уникальность. Приведем примеры: (1) Sexy, feminin und verspielt sorgt Lacoste Touch of Pink bei seiner Trgerin fr stetig gute Stimmung [11]. / Сексуальный, женственный, игривый аромат Touch of Pink позаботиться о хорошем настроении своей «хозяйки». (2) Werden Sie zur erbarmungslosen Verfhrerin und leben Sie Ihre Leidenschaft aus [8]. / Станьте беспощадной искусительницей, дайте волю своей страсти. (3) Dieser Duft ist besonders feminin, edel und elegant [15]. / Этот аромат женственный, благородный и элегантный. (4) Sinnlich duftet die moderne Frau [9]... / Чувственный аромат исходит от современной женщины. (5) Fr originelle Frauen, einzigartige und sexi [14]. / Для оригинальных женщин, неповторимых и сексуальных.",,"Однако в отличие от русскоязычного рекламного парфюмерного дискурса, для которого данные признаки оказываются наиболее частотными, релевантными признаками женского идеала в немецкоязычной рекламе являются такие качества, как уверенность в себе и независимость: (6) Er ist Begleiter fr die eigenstndige und selbstbewusste Frau [7]. / Он (аромат) сопровождает самостоятельную, уверенную в себе женщину. (7) Lassen Sie sich von diesem wunderbaren Duft verfhren und lernen Sie Ihr Selbstbewusstsein kennen [10]! / Позвольте этому чудесному аромату обольстить вас и почувствовать уверенность в себе! (8) Sein pudriger Duft mit feinen Aromen von Magnolie und Maiglckchen umschmeichelt die selbstbewusste Frau von heute [12]. / Пудровый аромат с тонким благоуханием магнолии и ландыша обольстит уверенную в себе, современную женщину. Идеал современной немецкой женщины в рекламе связан также с такими понятиями, как успешность и лидерство: (9) Diese Frau ist ausdrucksvoll und dominant [7]. / Эта женщина выразительная, задающая тон... (10) Der Duft wurde speziell fr die selbstbewusste, erfolgreiche und moderne Frau entwickelt [13]. / Этот аромат был создан специально для уверенной в себе, успешной, современной женщины. В некоторых случаях подчеркивается смелость и решительность обладательницы аромата: (11) Der Duft fr die mutigen Frauen, die keine Angst haben, ihre Ziele zu verfolgen [10]. / Аромат для смелых женщин, которые не боятся осуществлять задуманное.",,Contrast,однако,"в отличие,данный",нет,нет,нет,нет,,,,,,2,,,,межсент,nd,nd,,,,9,10,,,,,наука
